,2025-01-31
CEU2 FP Equity,1.3002
FDL US Equity,14.6033
CGUS US Equity,28.0875
XDWT GR Equity,49.7127
DLN US Equity,-3.9848999999999997
BBAX US Equity,7.4703
CSSX5E SW Equity,0
00940 TT Equity,0
FDVV US Equity,35.5724
EWSP NA Equity,87.5399
VOX US Equity,58.122699999999995
XMMO US Equity,79.55839999999999
FELC US Equity,50.8512
URTH US Equity,0
DFEM US Equity,0
QUAL AU Equity,10.4911
SPMO US Equity,82.3199
XEQT CN Equity,47.8516
EMMUSA SW Equity,0
XAIX GR Equity,48.3309
VEUR LN Equity,-6.3828
DFSV US Equity,52.6253
ACWD LN Equity,-7.243
BBUS US Equity,21.835299999999997
RWL US Equity,54.0132
VEQT CN Equity,26.6314
IUSK GR Equity,1.8695
ESGE US Equity,0
CPSEBE IN Equity,0
A200 AU Equity,0
JHMM US Equity,1.5744
EUN2 GR Equity,0
NBEES IN Equity,0
MWSH GR Equity,-11.8673
AWESGS SW Equity,6.6152999999999995
IOZ AU Equity,12.873
SAEM LN Equity,0
EMUEUA GR Equity,87.8819
CAC FP Equity,-2.4447
IWQU LN Equity,0
SCHK US Equity,-8.7939
CHDVD SW Equity,45.97460000000001
SLYV US Equity,22.3109
IEUR US Equity,0
CHSPI SW Equity,0.08750000000000036
LCUJ GR Equity,24.6536
FBCG US Equity,36.797399999999996
JPNCHA SW Equity,-23.1407
VSGX US Equity,0
EEMV US Equity,0
SPGP US Equity,-18.6985
QTEC US Equity,-0.10549999999999926
ACWV US Equity,0
MWOE GR Equity,3.8083
CBMEM SW Equity,0
FV US Equity,-3.1049
512170 CH Equity,-3.3012
069500 KS Equity,0
SCHC US Equity,0
DIVO US Equity,16.901
IDV US Equity,0
IYF US Equity,-53.1099
DON US Equity,2.6411
NDQ AU Equity,12.7454
SUSA US Equity,-6.2573
159995 CH Equity,-10.7174
S5SD GR Equity,18.5175
512480 CH Equity,39.0626
VDNR LN Equity,5.3851
UCAP SW Equity,4.6797
SLYG US Equity,-32.7967
DXJ US Equity,0
SPXE LN Equity,40.3118
REET US Equity,0
BBEU US Equity,0
SKYY US Equity,50.697100000000006
UDVD LN Equity,-5.2362
XZEW GR Equity,25.129800000000003
IXJ US Equity,0
513180 CH Equity,0.088
IYR US Equity,162.20090000000002
00713 TT Equity,0
512000 CH Equity,20.6001
1473 JP Equity,-0.0083
RSPT US Equity,26.659
UKGBPB SW Equity,3.4641
560010 CH Equity,-2.9557
NAFTRAC MM Equity,-4.721500000000001
SAEU LN Equity,8.216
URA US Equity,-22.564
ELFW GR Equity,19.6336
KNG US Equity,25.856099999999998
GSIE US Equity,0
STW AU Equity,5.8875
IWDE LN Equity,166.3187
IWVL LN Equity,-0.1477
AIRR US Equity,102.42960000000001
SEMA LN Equity,0
PTLC US Equity,24.7207
VIU CN Equity,14.479199999999999
RBOT LN Equity,-0.4376
SPHD US Equity,-5.111599999999953
2828 HK Equity,-16.0202
VTHR US Equity,-13.32
KBWB US Equity,115.8911
MVOL LN Equity,8.1782
FELG US Equity,14.3805
HXS CN Equity,6.25
TCAF US Equity,54.965199999999996
VMID LN Equity,-26.585800000000003
IFRA US Equity,23.793400000000002
XT US Equity,-9.2402
AEEM FP Equity,0
EWY US Equity,0
MSE FP Equity,-2.4463
BKLC US Equity,39.223800000000004
C50 FP Equity,-31.6729
CGXU US Equity,17.4424
EUSRI FP Equity,57.9586
133690 KS Equity,0
FEZ US Equity,0
159949 CH Equity,-46.981
VIOO US Equity,-3.279
IDP6 LN Equity,19.241799999999998
EMLP US Equity,40.4193
510180 CH Equity,-2.6469
EWZ US Equity,0
IYH US Equity,-12.368500000000001
SUSM LN Equity,0
DIHP US Equity,32.8341
159941 CH Equity,0
XYLD US Equity,42.7696
XSX6 GR Equity,-26.172
EPI US Equity,0
512010 CH Equity,-2.4294
EMUD LN Equity,-45.3114
VDEM LN Equity,0
UBU3 GR Equity,-6.0156
EWU US Equity,0
FNDC US Equity,0
DFLV US Equity,9.2479
CSEMAS SW Equity,0
DACE AU Equity,0
VNQI US Equity,0.0145
SMICHA SW Equity,-49.7793
HMEM LN Equity,-0.3844
TDIV US Equity,-0.0011999999999998678
VDJP LN Equity,4.4235999999999995
MDYG US Equity,-36.083999999999996
ESGU LN Equity,-31.702300000000005
CMXUS SW Equity,-1.4313
IUQA LN Equity,-7.6489
VSP CN Equity,20.9905
XMJP GR Equity,0.07709999999999972
XAR US Equity,13.0488
159920 CH Equity,-7.1661
1599 JP Equity,0
PSGF35 IT Equity,4.4084
MLPX US Equity,38.081
HXT CN Equity,-37.1414
USCA US Equity,-26.8742
CSPXJ SW Equity,0
USRT US Equity,-8.6161
VAW US Equity,-3.5841
1343 JP Equity,20.868299999999998
MSLC US Equity,2.4884
AWSRIS SW Equity,-1.0223
CSUKX SW Equity,0
IHDG US Equity,0
ITB US Equity,391.76
SYGEU SJ Equity,0
SPYI US Equity,36.5967
WELE GR Equity,153.63150000000002
ZLB CN Equity,3.2958999999999996
IOO AU Equity,4.0725999999999996
NUGO US Equity,0.7097
JAVA US Equity,19.980799999999995
AIQ US Equity,387.91700000000003
VERX LN Equity,-0.6207999999999999
ZEB CN Equity,-49.97540000000003
GNR US Equity,0
DEM US Equity,0
BOTZ US Equity,37.734
SDGPEX GR Equity,0
159792 CH Equity,-3.598
COPX US Equity,-6.6504
1369 JP Equity,0.003699999999999995
FHLC US Equity,-6.9686
DJGTEEX GR Equity,-0.04919999999999991
EWC US Equity,25.0804
SW2CHB SW Equity,7.6412
FMDE US Equity,20.219300000000004
1592 JP Equity,-0.021500000000000005
VHY AU Equity,0
IWMO LN Equity,10.4769
MDYV US Equity,-8.3792
SMH LN Equity,-2.5153000000000034
IMCG US Equity,23.7561
PRFZ US Equity,-12.8288
USMC US Equity,-13.6427
513130 CH Equity,-17.3699
TNOW IM Equity,-1.0875999999999997
GSUS US Equity,-29.1876
NIFTYIET IN Equity,0
ISPY LN Equity,8.629699999999998
510880 CH Equity,-8.3543
ILCG US Equity,4.6137
IVOO US Equity,13.266
CNYA LN Equity,-9.2454
XDWH GR Equity,4.3465
CSUSS SW Equity,6.6724
KBE US Equity,41.0876
379800 KS Equity,0
XUU CN Equity,11.1771
XACTVINX SS Equity,-47.8005
HELO US Equity,33.0533
IMID LN Equity,47.241699999999994
QUU CN Equity,-17.47
AAXJ US Equity,0
ANX FP Equity,7.4263
VGAD AU Equity,0
MWOP GR Equity,-8.0783
TEC CN Equity,19.494200000000003
NFRA US Equity,-30.7955
ASHR US Equity,0
159922 CH Equity,65.3057
1364 JP Equity,0
IWX US Equity,4.1778
XOP US Equity,-70.00569999999999
XQQ CN Equity,2.7954
IUFS LN Equity,67.3631
KLMN US Equity,0
VDY CN Equity,10.4998
DFIS US Equity,34.8638
2823 HK Equity,0
LRGF US Equity,0
ETHI AU Equity,4.1038
83188 HK Equity,0
UBU7 GR Equity,-0.04689999999999994
IYY US Equity,0
USCL US Equity,-21.8742
EAGL US Equity,62.8896
XZEU GR Equity,0
IUHC LN Equity,11.6079
