,2025-02-07
VDNR LN Equity,3843.5535
UCAP SW Equity,3921.971
SLYG US Equity,3717.7424
DXJ US Equity,3825.7658
SPXE LN Equity,3766.0511
REET US Equity,3792.5047
BBEU US Equity,3846.7244
SKYY US Equity,4033.099
UDVD LN Equity,3690.6094
XZEW GR Equity,3906.26364
IXJ US Equity,3821.3089
513180 CH Equity,3732.29016
IYR US Equity,3904.6264
00713 TT Equity,3824.63144
512000 CH Equity,3697.15001
1473 JP Equity,3806.3757
RSPT US Equity,3591.9562
UKGBPB SW Equity,3647.84236
560010 CH Equity,3607.11274
NAFTRAC MM Equity,3766.68831
SAEU LN Equity,3720.42926
URA US Equity,3542.4817
ELFW GR Equity,3669.38011
KNG US Equity,3605.5824
GSIE US Equity,3643.1864
STW AU Equity,3603.06578
IWDE LN Equity,3702.96227
IWVL LN Equity,3469.2883
AIRR US Equity,3604.786
SEMA LN Equity,3627.44132
PTLC US Equity,3520.4969
VIU CN Equity,3567.43172
RBOT LN Equity,3449.3752
SPHD US Equity,3336.5166
2828 HK Equity,3828.90863
VTHR US Equity,3319.96
KBWB US Equity,3660.5643
MVOL LN Equity,3464.6983
FELG US Equity,3368.511451
HXS CN Equity,3337.03527
TCAF US Equity,3391.30286
VMID LN Equity,3153.25239
IFRA US Equity,3244.9297
XT US Equity,3256.6112
AEEM FP Equity,3360.90761
EWY US Equity,3221.4862
MSE FP Equity,3396.29523
BKLC US Equity,3273.0588
C50 FP Equity,3359.38016
CGXU US Equity,3360.4193
EUSRI FP Equity,3363.8233
133690 KS Equity,3275.16426
FEZ US Equity,3468.4445
159949 CH Equity,3197.20619
VIOO US Equity,3119.8975
IDP6 LN Equity,3131.4121
EMLP US Equity,3149.258
510180 CH Equity,3171.69841
EWZ US Equity,3280.351
IYH US Equity,3189.1743
SUSM LN Equity,3182.9209
DIHP US Equity,3272.3143
159941 CH Equity,3106.67737
XYLD US Equity,3227.7982
XSX6 GR Equity,3164.41666
EPI US Equity,3071.8731
512010 CH Equity,3076.29993
EMUD LN Equity,3182.23975
VDEM LN Equity,3153.0622
UBU3 GR Equity,3054.4644
EWU US Equity,3130.1539
FNDC US Equity,3127.6262
DFLV US Equity,3074.1702
CSEMAS SW Equity,3076.4572
DACE AU Equity,3027.96126
VNQI US Equity,3071.1332
SMICHA SW Equity,3112.64371
HMEM LN Equity,2542.5252
TDIV US Equity,2937.8593
VDJP LN Equity,3143.15918
MDYG US Equity,2866.6868
ESGU LN Equity,2967.3917
CMXUS SW Equity,2936.668618
IUQA LN Equity,3017.7423
VSP CN Equity,2961.32462
XMJP GR Equity,3067.62618
XAR US Equity,2866.4189
159920 CH Equity,2916.97636
1599 JP Equity,3013.2261
PSGF35 IT Equity,2908.63287
MLPX US Equity,2738.9365
HXT CN Equity,2832.04868
USCA US Equity,2882.3382
CSPXJ SW Equity,2903.0034
USRT US Equity,2851.6736
VAW US Equity,2805.9845
1343 JP Equity,3031.9971
MSLC US Equity,2842.086676
AWSRIS SW Equity,2794.52729
CSUKX SW Equity,2904.36706
IHDG US Equity,2949.6034
ITB US Equity,2625.3273
SYGEU SJ Equity,2907.42182
SPYI US Equity,2930.2551
WELE GR Equity,3076.32622
ZLB CN Equity,2871.50121
IOO AU Equity,2830.43016
NUGO US Equity,2783.6322
JAVA US Equity,2832.3675
AIQ US Equity,3044.427
VERX LN Equity,2891.47913
ZEB CN Equity,3166.73563
GNR US Equity,2751.7543
DEM US Equity,2804.5946
BOTZ US Equity,2808.1002
SDGPEX GR Equity,2774.79961
159792 CH Equity,2721.94502
COPX US Equity,2725.2873
1369 JP Equity,2762.2734
FHLC US Equity,2779.2932
DJGTEEX GR Equity,2725.66475
EWC US Equity,2727.1526
SW2CHB SW Equity,2861.58104
FMDE US Equity,2822.165802
1592 JP Equity,2792.1474
VHY AU Equity,2695.26214
IWMO LN Equity,2799.5473
MDYV US Equity,2608.9352
SMH LN Equity,2493.5074
IMCG US Equity,2720.5168
PRFZ US Equity,2632.3593
USMC US Equity,2672.9805
513130 CH Equity,2612.13955
TNOW IM Equity,2585.00881
GSUS US Equity,2608.2474
NIFTYIET IN Equity,2582.50609
ISPY LN Equity,2791.50363
510880 CH Equity,2563.11187
ILCG US Equity,2551.445
IVOO US Equity,2522.9535
CNYA LN Equity,2572.4597
XDWH GR Equity,2681.50297
